단어,빈도수
아이돌,597
소속사,138
자컨,10
잘만,34
행복,390
따따,26
장호,8
게시,183
강남,686
프랜차이즈,59
앓이,67
배운,1
당장,281
휜정,1
당황,149
언니,507
왤케,112
해도,525
구독,338
배속,14
댄스,145
야호,63
사연,80
부캐,35
면접,420
의문,184
테스트,319
유튜버,67
레고,105
용또,1
초코,191
남편,150
애기,360
제발,559
은지,378
오오오,23
식이,106
무무,18
심정,43
뭄벼리,1
모델,734
음방,29
가입,568
메모,111
리릭,9
햄깅,4
삼촌,55
망치,98
이처,4
돌이,163
예술,281
전속,58
헐레별덕,1
김현,32
운전자,39
화재보험,56
치아,66
모델링,52
보장,130
세용,88
이빨,28
손상,47
임플란트,166
발치,3
치석제거,1
크라운,226
치과,161
미리,310
나중,405
부담,273
김용범,3
부회장,258
선두,95
달린다,25
금교영,8
재연,16
취임,95
매년,65
실적,2116
지난해,726
윤영,106
가치,538
자기,1167
보통주,135
장내,60
공시,1552
사주,150
금액,254
아이스,110
살껄,3
시발,458
고민,577
항상,479
언제,891
검진,22
삼양식품,280
삼양사,193
재무,213
에프,2938
가이드,357
지배,225
채식,32
주의,583
삼양,25
자재,148
노조,578
당근,135
이내,96
강흥보,2
퓨얼,341
케미칼,1174
한화,1484
시스템,2427
금호,691
석유,646
카본,31
칠성,241
하이트진로,230
송원,202
동진,360
쎄미켐,311
미코,555
이엔드디,26
닉스,738
가요,417
존버맨,5
영원,77
무역,276
영진약품,35
화학,1084
주네,20
진로소주,1
진로,60
토닉,50
워터,139
오배,1
김인규,19
하이트,33
개월,601
점유,114
김홍수,4
추격,48
엔진,251
시동,72
훈맹,1
정음,9
점자,29
표기,47
부실,122
테라,285
김효,13
시중,42
유통,485
시각장애인,5
불편,20
한가지,51
김일,16
정토종,2
장자연,8
리스트,379
박문,34
덕이,40
참이슬,16
마디,117
범주,10
개맛,19
맛친놈,2
몸뚱,5
아리,614
해피,251
이건,679
빵비,2
영훈,230
이슬,36
자존심,74
평행,10
바이럴,12
알바,895
여기,1223
베개,55
언급,580
맘찍,36
준호,59
위스키,50
화보,175
탐라,388
알콜,87
삼만리,3
예전,442
화요,11
도담,40
보드카,14
보로,292
정도,1649
퀄리티,49
한번,943
해운대,142
아이유,109
간다,385
박차,117
영빈,26
키노,145
교환,809
달래,19
보쟈,2
로우,274
차니,35
태국,96
소주,109
어가,71
상반기,418
수출,1130
성과,230
서도,114
돌풍,40
성장,1451
위키트리,241
홈술족,2
모조리,26
태그,127
주류,41
코너,66
등장,375
상큼,79
여름,752
한정판,58
레모,8
리뷰,389
만족,82
신상,101
