단어,빈도수,라벨링
유니온,446,0
본사,445,0
가구,445,0
국보,445,0
데이,444,0
클럽,444,0
목적,443,0
예전,442,0
채용정보,442,0
무엇,442,0
달성,442,2
그것,442,0
레몬,440,0
엔씨소프트,439,0
마스터,439,0
크래프톤,439,0
핑크,439,0
에어부산,438,0
이즈,438,0
첨단,438,0
대한해운,437,0
지수,436,0
문재인,436,0
신소재,435,2
라이프,434,0
설치,434,0
카메라,434,0
등록,434,1
최종,434,1
작업,433,0
크게,432,1
엔젤,432,0
키즈,431,0
렌터카,431,0
전부,431,0
살균제,431,0
도입,430,1
얼마나,430,0
러버,429,0
고양이,429,0
혈장,428,0
골드,428,0
활용,427,1
예비,427,0
조선해,426,0
녹스,426,0
제시,425,0
펀드,425,0
일반,424,0
해상,424,0
사기,423,-2
방직,422,0
본인,422,0
애플,422,0
트친소,421,0
정신,421,0
면접,420,0
카톡,420,0
응원,420,0
만들기,420,0
번역,419,0
메카,418,1
작가,418,0
상상,418,0
흐름,418,0
상반기,418,0
지점,417,0
처리,417,-1
가요,417,0
소프트,416,0
중인,416,0
제지,416,0
오케이,415,0
공정,415,-1
연구원,415,0
전세계,415,0
담보,415,0
오리온,415,0
어플,415,0
캠퍼스,413,0
위치,413,0
무대,413,0
사람인,412,0
바트,412,0
티맥스소프트,412,0
연속,412,0
알서포트,412,0
마이,411,0
동영상,411,0
전북,411,0
한국전력,410,0
이해,410,0
걱정,410,-2
화신,409,0
난방,408,0
슈퍼,408,0
대창,408,0
제분,408,0
유력,407,0
대화,407,0
수요,406,1
획득,406,1
나중,405,0
홍보,404,0
영향,404,-1
저녁,404,0
삼립,403,0
자꾸,403,-1
선생,403,0
휴비스,402,0
로드,401,0
트친,401,0
컨슈머,401,0
안마,401,0
본부,400,0
주인,400,0
전달,400,0
주변,399,0
토건,399,0
대원,399,0
취득,399,1
안국,398,0
도전,398,1
열사,398,1
중이,398,0
공항,397,0
전문가,397,0
실시,397,1
방식,397,0
엔비,397,0
시디즈,396,0
드래곤,396,0
중심,395,0
외국인,394,0
연락,394,0
일지,394,0
혐의,394,-3
러시아,394,0
교보,394,0
주로,394,0
동결,393,-2
포트,393,0
위원회,392,0
진자,392,0
일제,391,-1
남양유업,391,-1
민주당,391,0
순간,390,0
가정,390,0
행복,390,1
테크놀로지,390,0
홈페이지,390,0
리뷰,389,0
의견,389,0
탐라,388,0
페이스북,388,0
우선,387,0
곰표,386,0
아무,386,0
시험,386,0
택배,386,0
가슴,386,0
학생,385,0
로봇,385,0
간다,385,0
부각,385,1
미스,385,0
구조,385,-2
케이엠,385,0
조비,384,0
렉스,384,0
현금,384,-1
계열,384,0
수리,384,0
위기,383,-3
대웅,383,0
쌍용차,383,0
아미,382,0
사과,382,-1
아마,382,0
수익률,381,0
분위기,381,0
서로,381,0
화폐,381,0
명가,380,1
이글,380,0
미래에셋,379,0
작품,379,1
커피,379,0
비즈,379,0
리스트,379,0
은지,378,0
당시,378,0
넥센,378,0
오프,377,0
바닥,377,-2
계좌,377,0
아기,376,0
긴급,376,0
고려,376,0
아빠,376,0
박스,376,0
몬스타,376,0
가온,376,0
임영웅,375,0
절대,375,-1
이사,375,0
등장,375,0
캠페인,375,0
수혜,375,0
단지,374,0
부장,374,0
플리,374,0
동방,374,0
예약,374,0
업종,373,0
컴투스,373,0
음악,372,0
농심,372,0
리그,372,0
인터뷰,372,0
순위,371,0
청구,371,-1
러브,371,0
사태,370,-1
대사,370,0
가면,369,0
어린이,369,0
금융투자,369,0
유성기업,369,0
기존,369,0
일이,368,0
엘피,368,0
확산,368,-1
보도,368,0
시절,367,0
인상,367,1
수입,366,1
환자,366,0
부동산,366,0
차량,365,0
비보,365,1
기도,365,0
오빠,365,0
연결,364,0
자동,364,0
파트론,364,0
오션스,363,0
메타,363,1
과정,363,0
케이에스,363,0
시기,363,0
액션,362,0
도착,362,0
천보,362,0
타임,361,0
리스,361,0
학년,361,0
방탄,361,0
커버,361,0
발행,360,0
밴드,360,0
제로,360,0
인성,360,-1
애기,360,0
치킨,360,0
대기업,360,1
동진,360,0
바디,359,0
