기업명,감성지수
제주맥주,51
유진투자증권,51
유나이티드제약,50
아이퀘스트,50
로지시스,50
나노브릭,50
화승인더,50
동원시스템즈,50
국전약품,50
신세계,49
효성티앤씨,49
진에어,49
현대무벡스,49
미코바이오메드,49
인디에프,49
라온테크,49
브릿지바이오테라퓨틱스,49
아주IB투자,49
지더블유바이텍,48
이월드,48
엠아이텍,48
앱클론,48
에스아이리소스,48
현대건설기계,48
뉴트리,47
동구바이오제약,47
환영철강공업,47
신세계 I&C,47
드림어스컴퍼니,46
이연제약,46
수프로,46
한국화장품,46
롯데정밀화학,46
카카오,46
바이오로그디바이스,45
에코캡,45
엔에스컴퍼니,45
코스메카코리아,45
명신산업,44
신세계톰보이,44
휴네시온,44
테스나,44
한국정보통신,44
휴맥스,44
골든센츄리,44
팜스빌,44
지니틱스,43
IBKS,43
한컴위드,43
코스모신소재,43
미투젠,43
원텍,43
삼성중공업,43
KCTC,43
까스텔바작,43
트루윈,43
엑스큐어,43
엔씨소프트,43
대웅제약,43
현대코퍼레이션,42
대창스틸,42
타임기술,42
파커스,42
압타머사이언스,42
더콘텐츠온,42
사조동아원,41
인포뱅크,41
노바텍,41
이랜텍,41
동성화인텍,41
쎌마테라퓨틱스,41
GS리테일,41
티앤엘,41
코디,41
네온테크,40
유에스티,40
센트랄모텍,40
피엔케이피부임상연구센타,40
시그넷이브이,40
네패스아크,40
이노테라피,40
슈프리마아이디,40
무림P&P,40
대한제당,39
큐브엔터,39
센트럴인사이트,39
빙그레,39
파미셀,39
보광산업,39
텔레칩스,39
한신기계,39
KPX생명과학,39
예선테크,39
위더스제약,39
청담러닝,39
현대엘리베이,38
이베스트,38
교보,38
케이엠,38
뉴젠팜,38
소마젠,38
신도기연,38
다이노나,38
아모그린텍,37
씨케이에이치,37
SK증권,37
큐엠씨,37
폭스소프트,37
제이앤티씨,37
이마트,36
코웰패션,36
에스피반도체,36
코스모화학,36
코스온,36
동원개발,36
리더스 기술투자,36
SBI핀테크솔루션즈,36
피케이밸브,36
티에스아이,36
한화에스비아이스팩,35
이마트에브리데이,35
티라유텍,35
세종메디칼,35
유니크,35
엑시콘,35
롯데정보통신,35
메리츠증권,35
일동제약,35
세아제강,34
코람코에너지리츠,34
알에프세미,34
위세아이텍,34
해성옵틱스,34
한화솔루션,34
제이브이엠,34
한국ANKOR유전,34
윙입푸드,33
미래에셋증권,33
핀플넷,33
KG동부제철,33
싸이버원,33
유니온,33
일진머티리얼즈,33
GH신소재,33
테라사이언스,33
조광피혁,33
더블유에스아이,33
현대중공업지주,33
코콤,33
이노뎁,33
쌍용차,32
싸이토젠,32
에프앤리퍼블릭,32
네오크레마,32
진원생명과학,32
GS건설,32
엔케이,32
이건산업,31
해성티피씨,31
솔루스첨단소재,31
엔바이오니아,31
에스엘에스바이오,31
바이오솔루션,31
대신증권,31
수산중공업,31
녹십자홀딩스,31
대유,31
디엔에이링크,30
아시아경제,30
케이비1,30
이녹스,30
청광건설,30
옵티시스,30
노브메타파마,30
아모레G,30
미래산업,30
우림기계,30
진매트릭스,29
동아쏘시오홀딩스,29
티와이홀딩스,29
TS인베스트먼트,29
LX홀딩스,29
대교,29
넥스트사이언스,29
BNK금융지주,29
레이크머티리얼즈,29
메디젠휴먼케어,29
오리온홀딩스,29
프레스티지바이오로직스,28
로스웰,28
엠투엔,28
와이투솔루션,28
아이큐어,28
듀켐바이오,28
TCC스틸,28
에스알바이오텍,28
리독스바이오,28
서광,28
미래에셋생명,28
진도,28
나노스,27
한세엠케이,27
휴니드,27
유니트론텍,27
에이플러스라이프,27
대주이엔티,27
넥센,27
대덕,27
코세스,27
골프존뉴딘홀딩스,27
프레스티지바이오파마,27
에스앤디,27
화성산업,27
교보증권,27
우진비앤지,27
현대일렉트릭,27
뉴지랩파마,27
한양증권,27
동아에스티,27
피엔에이치테크,26
시공테크,26
AP시스템,26
프럼파스트,26
자일자동차판매,26
신영증권,26
노터스,26
삼성전기,26
디케이앤디,26
애드바이오텍,26
S-Oil,26
KTB투자증권,26
마이지놈박스,26
슈프리마,26
카카오뱅크,26
한국맥널티,26
동성제약,25
씨티케이,25
코리아로터리,25
이오테크닉스,25
아미코젠,25
피제이전자,25
삼보산업,25
리메드,25
동국알앤에스,25
일신석재,25
슈펙스비앤피,25
넥스틴,25
CMG제약,25
석경에이티,25
씨아이테크,25
산타크루즈,25
녹십자엠에스,25
강스템바이오텍,25
피노텍,25
엠파크홀딩스,25
지엔원에너지,25
파마리서치바이오,25
삼중테크,24
신라교역,24
톱텍,24
바른손이앤에이,24
레몬,24
네오오토,24
특수건설,24
하이골드12호,24
파인텍,24
한송네오텍,24
엘비루셈,24
SK디스커버리,24
에스맥,24
소룩스,23
프로테옴텍,23
에이프로젠 H&G,23
셀젠텍,23
케이씨티,23
더네이쳐홀딩스,23
켐트로스,23
엄지하우스,23
대원전선,23
명진홀딩스,23
제이시스메디칼,23
볼빅,23
DL건설,23
바이오인프라생명과학,23
동명스틸,23
나노씨엠에스,23
금호타이어,23
엠에스오토텍,23
씨엠에스에듀,23
현대코퍼레이션홀딩스,23
엔투텍,23
시큐센,23
쎄미시스코,23
비트로시스,23
삼양패키징,23
네이처셀,23
까뮤이앤씨,23
펨토바이오메드,23
신한,22
ESR켄달스퀘어리츠,22
포시에스,22
위월드,22
유진스팩6호,22
더존홀딩스,22
비엠티,22
씨브이네트,22
삼영에스앤씨,22
JW중외제약,22
자화전자,22
투비소프트,22
나라소프트,22
보성파워텍,22
디에이피,22
아톤,22
하이골드3호,22
경동인베스트,22
에스케이씨에스,22
한국가구,22
피엔티,22
핑거,22
제놀루션,22
롯데지주,22
YG PLUS,21
삼양통상,21
네오셈,21
케이씨에스,21
코리아0,21
한국미라클피플사,21
삼보오토,21
랩지노믹스,21
데이드림엔터,21
태원물산,21
금강공업,21
이엠앤아이,21
안지오랩,21
나눔테크,21
세명전기,21
현대모비스,21
유진스팩4호,21
이엔코퍼레이션,21
명문제약,21
심텍홀딩스,21
에이치엠씨,21
와이오엠,21
씨알푸드,21
에이에프더블류,21
이엠코리아,21
유니셈,21
에코프로에이치엔,21
윌링스,20
애니플러스,20
일진파워,20
모트렉스,20
현대약품,20
STX중공업,20
뉴파워프라즈마,20
아진엑스텍,20
에이원알폼,20
갤럭시아에스엠,20
삼호개발,20
크리스에프앤씨,20
골프존데카,20
한국우사회,20
이엔드디,20
세운메디칼,20
디에이테크놀로지,20
삼강엠앤티,20
금호전기,20
배럴,20
심텍,20
헬릭스미스,20
한일현대시멘트,20
엔지켐생명과학,20
지앤이헬스케어,20
에스넷,19
대현,19
조흥,19
제닉,19
월덱스,19
평화산업,19
세원이앤씨,19
럭스피아,19
오가닉티코스메틱,19
한국타이어앤테크놀로지,19
원풍,19
코오롱인더,19
바이오리더스,19
파세코,19
SH에너지화학,19
와이더플래닛,19
광명전기,19
셀인바이오,19
녹십자랩셀,19
엑심베이,19
씨엘인터내셔널,19
전진바이오팜,18
케이엔제이,18
DGB금융지주,18
바이오니아,18
제일전기공업,18
바이오다인,18
국보,18
대영씨엔이,18
제이엔케이히터,18
바이오시네틱스,18
아이티센,18
프리시젼바이오,18
티엘비,18
라닉스,18
DI동일,18
이노션,18
SK에코플랜트,18
대명소노시즌,18
JW신약,18
삼성스팩2호,18
라이프사이언스테크놀로지,18
한창산업,18
일진전기,18
삼성에스디에스,18
오스템,18
우진아이엔에스,18
태경비케이,18
이지홀딩스,18
동아지질,18
에스에이엠티,18
유안타증권,17
영화테크,17
제노포커스,17
이삭엔지니어링,17
에스에프에이,17
와이엔텍,17
플럼라인생명과학,17
크라운해태홀딩스,17
태경케미컬,17
천지산업,17
DB금융투자,17
조선내화,17
관악산업,17
진흥기업,17
진코스텍,17
HDC아이콘트롤스,17
포스코엠텍,17
대원,17
케어룸의료산업,17
에스엘,17
한화투자증권,17
제너셈,17
지에스엘,17
알에프텍,17
에스피시스템스,16
케이비,16
오하임아이엔티,16
덕산테코피아,16
디에이치피코리아,16
콜마비앤에이치,16
위메이드,16
코렌텍,16
삼진제약,16
단디바이오,16
선진,16
동진건설,16
에스티오,16
조일알미늄,16
한국파마,16
한국큐빅,16
WISCOM,16
금호에이치티,16
세아제강지주,16
한국전자금융,16
대한그린파워,16
나노,16
코이즈,16
에스코어,16
에스엔피제네틱스,16
서울제약,16
한국토지신탁,16
코미코,16
디딤,15
태광산업,15
원익큐브,15
이노벡스,15
삼미,15
신영스팩6호,15
중앙에너비스,15
용평리조트,15
유앤아이,15
에이스캠퍼,15
CJ CGV,15
스카이이앤엠,15
대양전기공업,15
하이비젼시스템,15
지스마트글로벌,15
이지스밸류리츠,15
경남제약헬스케어,15
세진티에스,15
대륙제관,15
바이오스마트,15
미투온,15
우리기술투자,15
유비쿼스,15
샘표식품,15
바이오프로테크,15
휴먼엔,15
원익,15
SNT에너지,15
IHQ,15
바른손,15
아이월드제약,15
NHN한국사이버결제,15
휠라홀딩스,15
넥스턴바이오,15
위메이드맥스,15
두원중공업,14
아진카인텍,14
케이프,14
한글과컴퓨터,14
젬백스링크,14
펄어비스,14
로보스타,14
우정바이오,14
남선알미우,14
제테마,14
픽셀플러스,14
HDC현대EP,14
신세계건설,14
비엔디생활건강,14
KCC글라스,14
고려산업,14
KCC건설,14
피엔아이컴퍼니,14
이루온,14
파인디지털,14
삼성제약,14
대한뉴팜,14
한일화학,14
모나리자,14
젬백스지오,14
한양디지텍,14
대창단조,14
뉴젠홀딩스,14
로보티즈,14
대영포장,13
사조오양,13
미라콤아이앤씨,13
