,曽鯉坪球,曽鯉誤,劾促,曽亜
125,A011300,失照,20210215,1055
126,A011300,失照,20210210,1085
127,A011300,失照,20210209,1115
128,A011300,失照,20210208,1220
129,A011300,失照,20210205,1115
130,A011300,失照,20210204,860
131,A011300,失照,20210203,834
132,A011300,失照,20210202,856
133,A011300,失照,20210201,883
134,A011300,失照,20210129,890
135,A011300,失照,20210128,887
136,A011300,失照,20210127,947
137,A011300,失照,20210126,999
138,A011300,失照,20210125,1030
139,A011300,失照,20210122,1025
140,A011300,失照,20210121,900
141,A011300,失照,20210120,779
142,A011300,失照,20210119,651
143,A011300,失照,20210118,733
144,A011300,失照,20210115,644
145,A011300,失照,20210114,496
146,A011300,失照,20210113,382
147,A011300,失照,20210112,387
148,A011300,失照,20210111,394
149,A011300,失照,20210108,374
150,A011300,失照,20210107,373
151,A011300,失照,20210106,378
152,A011300,失照,20210105,348
153,A011300,失照,20210104,347
154,A011300,失照,20201230,347
155,A011300,失照,20201229,343
156,A011300,失照,20201228,341
157,A011300,失照,20201224,345
158,A011300,失照,20201223,346
159,A011300,失照,20201222,352
160,A011300,失照,20201221,360
161,A011300,失照,20201218,372
162,A011300,失照,20201217,367
163,A011300,失照,20201216,378
164,A011300,失照,20201215,378
165,A011300,失照,20201214,382
166,A011300,失照,20201211,375
167,A011300,失照,20201210,375
168,A011300,失照,20201209,379
169,A011300,失照,20201208,375
170,A011300,失照,20201207,377
171,A011300,失照,20201204,383
172,A011300,失照,20201203,393
173,A011300,失照,20201202,390
174,A011300,失照,20201201,388
175,A011300,失照,20201130,388
176,A011300,失照,20201127,383
177,A011300,失照,20201126,382
178,A011300,失照,20201125,385
179,A011300,失照,20201124,385
180,A011300,失照,20201123,375
181,A011300,失照,20201120,366
182,A011300,失照,20201119,361
183,A011300,失照,20201118,354
184,A011300,失照,20201117,360
185,A011300,失照,20201116,357
186,A011300,失照,20201113,353
187,A011300,失照,20201112,356
188,A011300,失照,20201111,350
189,A011300,失照,20201110,347
190,A011300,失照,20201109,349
191,A011300,失照,20201106,343
192,A011300,失照,20201105,346
193,A011300,失照,20201104,339
194,A011300,失照,20201103,345
195,A011300,失照,20201102,343
196,A011300,失照,20201030,345
197,A011300,失照,20201029,351
198,A011300,失照,20201028,355
199,A011300,失照,20201027,352
200,A011300,失照,20201026,355
201,A011300,失照,20201023,359
202,A011300,失照,20201022,357
203,A011300,失照,20201021,358
204,A011300,失照,20201020,356
205,A011300,失照,20201019,357
206,A011300,失照,20201016,357
207,A011300,失照,20201015,357
208,A011300,失照,20201014,358
209,A011300,失照,20201013,355
210,A011300,失照,20201012,354
211,A011300,失照,20201008,369
212,A011300,失照,20201007,368
213,A011300,失照,20201006,369
214,A011300,失照,20201005,370
215,A011300,失照,20200929,357
216,A011300,失照,20200928,351
217,A011300,失照,20200925,359
218,A011300,失照,20200924,353
219,A011300,失照,20200923,354
220,A011300,失照,20200922,364
221,A011300,失照,20200921,376
222,A011300,失照,20200918,386
223,A011300,失照,20200917,389
224,A011300,失照,20200916,386
225,A011300,失照,20200915,390
226,A011300,失照,20200914,397
227,A011300,失照,20200911,407
228,A011300,失照,20200910,402
229,A011300,失照,20200909,398
230,A011300,失照,20200908,410
231,A011300,失照,20200907,413
232,A011300,失照,20200904,405
233,A011300,失照,20200903,408
234,A011300,失照,20200902,406
235,A011300,失照,20200901,408
236,A011300,失照,20200831,393
237,A011300,失照,20200828,388
238,A011300,失照,20200827,395
239,A011300,失照,20200826,397
240,A011300,失照,20200825,398
241,A011300,失照,20200824,392
242,A011300,失照,20200821,391
243,A011300,失照,20200820,385
244,A011300,失照,20200819,407
245,A011300,失照,20200818,390
246,A011300,失照,20200814,420
247,A011300,失照,20200813,420
248,A011300,失照,20200812,413
249,A011300,失照,20200811,411
250,A011300,失照,20200810,409
251,A011300,失照,20200807,419
252,A011300,失照,20200806,422
253,A011300,失照,20200805,424
254,A011300,失照,20200804,410
255,A011300,失照,20200803,407
256,A011300,失照,20200731,410
257,A011300,失照,20200730,406
258,A011300,失照,20200729,406
259,A011300,失照,20200728,394
260,A011300,失照,20200727,390
261,A011300,失照,20200724,388
262,A011300,失照,20200723,394
263,A011300,失照,20200722,407
264,A011300,失照,20200721,419
265,A011300,失照,20200720,421
266,A011300,失照,20200717,419
267,A011300,失照,20200716,417
268,A011300,失照,20200715,420
269,A011300,失照,20200714,420
270,A011300,失照,20200713,420
271,A011300,失照,20200710,421
272,A011300,失照,20200709,428
273,A011300,失照,20200708,433
274,A011300,失照,20200707,437
275,A011300,失照,20200706,441
276,A011300,失照,20200703,444
277,A011300,失照,20200702,444
278,A011300,失照,20200701,441
279,A011300,失照,20200630,433
280,A011300,失照,20200629,436
281,A011300,失照,20200626,448
282,A011300,失照,20200625,453
283,A011300,失照,20200624,453
284,A011300,失照,20200623,453
285,A011300,失照,20200622,453
286,A011300,失照,20200619,453
287,A011300,失照,20200618,458
288,A011300,失照,20200617,463
289,A011300,失照,20200616,467
290,A011300,失照,20200615,436
291,A011300,失照,20200612,472
292,A011300,失照,20200611,485
293,A011300,失照,20200610,500
294,A011300,失照,20200609,494
295,A011300,失照,20200608,495
296,A011300,失照,20200605,477
297,A011300,失照,20200604,466
298,A011300,失照,20200603,460
299,A011300,失照,20200602,457
300,A011300,失照,20200601,457
301,A011300,失照,20200529,452
302,A011300,失照,20200528,458
303,A011300,失照,20200527,473
304,A011300,失照,20200526,464
305,A011300,失照,20200525,467
306,A011300,失照,20200522,463
307,A011300,失照,20200521,460
308,A011300,失照,20200520,452
309,A011300,失照,20200519,450
310,A011300,失照,20200518,446
311,A011300,失照,20200515,449
312,A011300,失照,20200514,450
313,A011300,失照,20200513,439
314,A011300,失照,20200512,433
315,A011300,失照,20200511,445
316,A011300,失照,20200508,447
317,A011300,失照,20200507,432
318,A011300,失照,20200506,432
319,A011300,失照,20200504,432
320,A011300,失照,20200429,434
321,A011300,失照,20200428,432
322,A011300,失照,20200427,435
323,A011300,失照,20200424,425
324,A011300,失照,20200423,450
325,A011300,失照,20200422,454
326,A011300,失照,20200421,460
327,A011300,失照,20200420,456
328,A011300,失照,20200417,447
329,A011300,失照,20200416,416
330,A011300,失照,20200414,414
331,A011300,失照,20200413,406
332,A011300,失照,20200410,416
333,A011300,失照,20200409,409
334,A011300,失照,20200408,411
335,A011300,失照,20200407,410
336,A011300,失照,20200406,393
337,A011300,失照,20200403,385
338,A011300,失照,20200402,361
339,A011300,失照,20200401,363
340,A011300,失照,20200331,357
341,A011300,失照,20200330,341
342,A011300,失照,20200327,345
343,A011300,失照,20200326,348
344,A011300,失照,20200325,329
345,A011300,失照,20200324,313
346,A011300,失照,20200323,306
347,A011300,失照,20200320,306
348,A011300,失照,20200319,300
349,A011300,失照,20200318,352
350,A011300,失照,20200317,360
351,A011300,失照,20200316,377
352,A011300,失照,20200313,377
353,A011300,失照,20200312,416
354,A011300,失照,20200311,452
355,A011300,失照,20200310,475
356,A011300,失照,20200309,477
357,A011300,失照,20200306,524
358,A011300,失照,20200305,537
359,A011300,失照,20200304,526
360,A011300,失照,20200303,523
361,A011300,失照,20200302,510
362,A011300,失照,20200228,515
363,A011300,失照,20200227,545
364,A011300,失照,20200226,556
