,曽鯉坪球,曽鯉誤,劾促,曽亜
64,A068400,SK兄斗朝,20210513,13050
65,A068400,SK兄斗朝,20210512,12300
66,A068400,SK兄斗朝,20210511,12650
67,A068400,SK兄斗朝,20210510,12500
68,A068400,SK兄斗朝,20210507,11950
69,A068400,SK兄斗朝,20210506,12350
70,A068400,SK兄斗朝,20210504,11800
71,A068400,SK兄斗朝,20210503,11900
72,A068400,SK兄斗朝,20210430,11500
73,A068400,SK兄斗朝,20210429,11350
74,A068400,SK兄斗朝,20210428,11450
75,A068400,SK兄斗朝,20210427,11650
76,A068400,SK兄斗朝,20210426,11600
77,A068400,SK兄斗朝,20210423,11350
78,A068400,SK兄斗朝,20210422,11300
79,A068400,SK兄斗朝,20210421,10900
80,A068400,SK兄斗朝,20210420,11150
81,A068400,SK兄斗朝,20210419,11050
82,A068400,SK兄斗朝,20210416,11150
83,A068400,SK兄斗朝,20210415,10850
84,A068400,SK兄斗朝,20210414,10750
85,A068400,SK兄斗朝,20210413,10650
86,A068400,SK兄斗朝,20210412,10600
87,A068400,SK兄斗朝,20210409,10650
88,A068400,SK兄斗朝,20210408,10650
89,A068400,SK兄斗朝,20210407,10700
90,A068400,SK兄斗朝,20210406,10600
91,A068400,SK兄斗朝,20210405,10600
92,A068400,SK兄斗朝,20210402,10600
93,A068400,SK兄斗朝,20210401,10750
94,A068400,SK兄斗朝,20210331,10700
95,A068400,SK兄斗朝,20210330,10600
96,A068400,SK兄斗朝,20210329,10450
97,A068400,SK兄斗朝,20210326,10400
98,A068400,SK兄斗朝,20210325,10550
99,A068400,SK兄斗朝,20210324,10400
100,A068400,SK兄斗朝,20210323,10550
101,A068400,SK兄斗朝,20210322,10500
102,A068400,SK兄斗朝,20210319,10550
103,A068400,SK兄斗朝,20210318,10450
104,A068400,SK兄斗朝,20210317,10800
105,A068400,SK兄斗朝,20210316,11100
106,A068400,SK兄斗朝,20210315,11150
107,A068400,SK兄斗朝,20210312,11200
108,A068400,SK兄斗朝,20210311,11200
109,A068400,SK兄斗朝,20210310,10950
110,A068400,SK兄斗朝,20210309,10950
111,A068400,SK兄斗朝,20210308,11000
112,A068400,SK兄斗朝,20210305,10950
113,A068400,SK兄斗朝,20210304,11250
114,A068400,SK兄斗朝,20210303,11500
115,A068400,SK兄斗朝,20210302,11300
116,A068400,SK兄斗朝,20210226,11300
117,A068400,SK兄斗朝,20210225,11500
118,A068400,SK兄斗朝,20210224,11000
119,A068400,SK兄斗朝,20210223,11750
120,A068400,SK兄斗朝,20210222,11750
121,A068400,SK兄斗朝,20210219,12450
122,A068400,SK兄斗朝,20210218,12650
123,A068400,SK兄斗朝,20210217,12700
124,A068400,SK兄斗朝,20210216,12700
125,A068400,SK兄斗朝,20210215,12000
126,A068400,SK兄斗朝,20210210,11250
127,A068400,SK兄斗朝,20210209,11250
128,A068400,SK兄斗朝,20210208,11350
129,A068400,SK兄斗朝,20210205,11200
130,A068400,SK兄斗朝,20210204,11600
131,A068400,SK兄斗朝,20210203,10600
132,A068400,SK兄斗朝,20210202,10650
133,A068400,SK兄斗朝,20210201,10400
134,A068400,SK兄斗朝,20210129,10200
135,A068400,SK兄斗朝,20210128,10300
136,A068400,SK兄斗朝,20210127,10850
137,A068400,SK兄斗朝,20210126,10900
138,A068400,SK兄斗朝,20210125,11400
139,A068400,SK兄斗朝,20210122,11500
140,A068400,SK兄斗朝,20210121,11350
141,A068400,SK兄斗朝,20210120,10300
142,A068400,SK兄斗朝,20210119,10300
143,A068400,SK兄斗朝,20210118,10100
144,A068400,SK兄斗朝,20210115,10250
145,A068400,SK兄斗朝,20210114,10500
146,A068400,SK兄斗朝,20210113,10450
147,A068400,SK兄斗朝,20210112,10400
148,A068400,SK兄斗朝,20210111,10100
149,A068400,SK兄斗朝,20210108,9640
150,A068400,SK兄斗朝,20210107,9600
151,A068400,SK兄斗朝,20210106,9400
152,A068400,SK兄斗朝,20210105,9350
153,A068400,SK兄斗朝,20210104,9350
154,A068400,SK兄斗朝,20201230,9050
155,A068400,SK兄斗朝,20201229,9030
156,A068400,SK兄斗朝,20201228,8980
157,A068400,SK兄斗朝,20201224,8900
158,A068400,SK兄斗朝,20201223,8890
159,A068400,SK兄斗朝,20201222,8860
160,A068400,SK兄斗朝,20201221,8980
161,A068400,SK兄斗朝,20201218,9020
162,A068400,SK兄斗朝,20201217,9000
163,A068400,SK兄斗朝,20201216,9090
164,A068400,SK兄斗朝,20201215,9070
165,A068400,SK兄斗朝,20201214,9170
166,A068400,SK兄斗朝,20201211,9230
167,A068400,SK兄斗朝,20201210,9160
168,A068400,SK兄斗朝,20201209,9130
169,A068400,SK兄斗朝,20201208,9010
170,A068400,SK兄斗朝,20201207,9000
171,A068400,SK兄斗朝,20201204,9100
172,A068400,SK兄斗朝,20201203,9180
173,A068400,SK兄斗朝,20201202,9210
174,A068400,SK兄斗朝,20201201,9240
175,A068400,SK兄斗朝,20201130,9180
176,A068400,SK兄斗朝,20201127,9120
177,A068400,SK兄斗朝,20201126,9240
178,A068400,SK兄斗朝,20201125,9430
179,A068400,SK兄斗朝,20201124,9140
180,A068400,SK兄斗朝,20201123,9020
181,A068400,SK兄斗朝,20201120,8870
182,A068400,SK兄斗朝,20201119,8860
183,A068400,SK兄斗朝,20201118,8900
184,A068400,SK兄斗朝,20201117,8800
185,A068400,SK兄斗朝,20201116,8800
186,A068400,SK兄斗朝,20201113,8700
187,A068400,SK兄斗朝,20201112,8800
188,A068400,SK兄斗朝,20201111,8890
189,A068400,SK兄斗朝,20201110,8780
190,A068400,SK兄斗朝,20201109,8600
191,A068400,SK兄斗朝,20201106,8590
192,A068400,SK兄斗朝,20201105,8700
193,A068400,SK兄斗朝,20201104,8650
194,A068400,SK兄斗朝,20201103,8650
195,A068400,SK兄斗朝,20201102,8350
196,A068400,SK兄斗朝,20201030,8300
197,A068400,SK兄斗朝,20201029,8440
198,A068400,SK兄斗朝,20201028,8520
199,A068400,SK兄斗朝,20201027,8440
200,A068400,SK兄斗朝,20201026,8570
201,A068400,SK兄斗朝,20201023,8710
202,A068400,SK兄斗朝,20201022,8620
203,A068400,SK兄斗朝,20201021,8720
204,A068400,SK兄斗朝,20201020,8650
205,A068400,SK兄斗朝,20201019,8720
206,A068400,SK兄斗朝,20201016,8560
207,A068400,SK兄斗朝,20201015,8760
208,A068400,SK兄斗朝,20201014,8820
209,A068400,SK兄斗朝,20201013,8900
210,A068400,SK兄斗朝,20201012,8930
211,A068400,SK兄斗朝,20201008,8870
212,A068400,SK兄斗朝,20201007,8710
213,A068400,SK兄斗朝,20201006,8580
214,A068400,SK兄斗朝,20201005,8540
215,A068400,SK兄斗朝,20200929,8550
216,A068400,SK兄斗朝,20200928,8400
217,A068400,SK兄斗朝,20200925,8170
218,A068400,SK兄斗朝,20200924,8160
219,A068400,SK兄斗朝,20200923,8550
220,A068400,SK兄斗朝,20200922,8540
221,A068400,SK兄斗朝,20200921,8850
222,A068400,SK兄斗朝,20200918,9120
223,A068400,SK兄斗朝,20200917,9350
224,A068400,SK兄斗朝,20200916,9060
225,A068400,SK兄斗朝,20200915,8820
226,A068400,SK兄斗朝,20200914,8770
227,A068400,SK兄斗朝,20200911,8580
228,A068400,SK兄斗朝,20200910,8520
229,A068400,SK兄斗朝,20200909,8490
230,A068400,SK兄斗朝,20200908,8620
231,A068400,SK兄斗朝,20200907,8620
232,A068400,SK兄斗朝,20200904,8550
233,A068400,SK兄斗朝,20200903,8640
234,A068400,SK兄斗朝,20200902,8510
235,A068400,SK兄斗朝,20200901,8440
236,A068400,SK兄斗朝,20200831,8400
237,A068400,SK兄斗朝,20200828,8400
238,A068400,SK兄斗朝,20200827,8510
239,A068400,SK兄斗朝,20200826,8650
240,A068400,SK兄斗朝,20200825,8660
241,A068400,SK兄斗朝,20200824,8570
242,A068400,SK兄斗朝,20200821,8510
243,A068400,SK兄斗朝,20200820,8490
244,A068400,SK兄斗朝,20200819,8910
245,A068400,SK兄斗朝,20200818,8830
246,A068400,SK兄斗朝,20200814,9500
247,A068400,SK兄斗朝,20200813,9660
248,A068400,SK兄斗朝,20200812,9780
249,A068400,SK兄斗朝,20200811,9730
250,A068400,SK兄斗朝,20200810,9830
251,A068400,SK兄斗朝,20200807,9500
252,A068400,SK兄斗朝,20200806,9530
253,A068400,SK兄斗朝,20200805,9590
254,A068400,SK兄斗朝,20200804,9510
255,A068400,SK兄斗朝,20200803,9330
256,A068400,SK兄斗朝,20200731,9260
257,A068400,SK兄斗朝,20200730,9340
258,A068400,SK兄斗朝,20200729,9280
259,A068400,SK兄斗朝,20200728,9200
260,A068400,SK兄斗朝,20200727,9190
261,A068400,SK兄斗朝,20200724,9260
262,A068400,SK兄斗朝,20200723,9300
263,A068400,SK兄斗朝,20200722,9500
264,A068400,SK兄斗朝,20200721,9500
265,A068400,SK兄斗朝,20200720,9400
266,A068400,SK兄斗朝,20200717,9490
267,A068400,SK兄斗朝,20200716,9440
268,A068400,SK兄斗朝,20200715,9360
269,A068400,SK兄斗朝,20200714,9240
270,A068400,SK兄斗朝,20200713,9210
271,A068400,SK兄斗朝,20200710,9220
272,A068400,SK兄斗朝,20200709,9250
273,A068400,SK兄斗朝,20200708,9290
274,A068400,SK兄斗朝,20200707,9300
275,A068400,SK兄斗朝,20200706,9350
276,A068400,SK兄斗朝,20200703,9290
277,A068400,SK兄斗朝,20200702,9270
278,A068400,SK兄斗朝,20200701,9220
279,A068400,SK兄斗朝,20200630,9240
280,A068400,SK兄斗朝,20200629,9140
281,A068400,SK兄斗朝,20200626,9430
282,A068400,SK兄斗朝,20200625,9490
283,A068400,SK兄斗朝,20200624,9570
284,A068400,SK兄斗朝,20200623,9460
285,A068400,SK兄斗朝,20200622,9330
286,A068400,SK兄斗朝,20200619,9460
287,A068400,SK兄斗朝,20200618,9350
288,A068400,SK兄斗朝,20200617,9450
289,A068400,SK兄斗朝,20200616,9570
290,A068400,SK兄斗朝,20200615,9380
291,A068400,SK兄斗朝,20200612,9830
292,A068400,SK兄斗朝,20200611,9840
293,A068400,SK兄斗朝,20200610,9950
294,A068400,SK兄斗朝,20200609,10150
295,A068400,SK兄斗朝,20200608,10050
296,A068400,SK兄斗朝,20200605,10350
297,A068400,SK兄斗朝,20200604,10450
298,A068400,SK兄斗朝,20200603,10500
299,A068400,SK兄斗朝,20200602,10200
300,A068400,SK兄斗朝,20200601,10250
301,A068400,SK兄斗朝,20200529,10150
302,A068400,SK兄斗朝,20200528,10050
303,A068400,SK兄斗朝,20200527,10150
304,A068400,SK兄斗朝,20200526,10150
305,A068400,SK兄斗朝,20200525,10200
306,A068400,SK兄斗朝,20200522,10100
307,A068400,SK兄斗朝,20200521,10000
308,A068400,SK兄斗朝,20200520,9900
309,A068400,SK兄斗朝,20200519,9900
310,A068400,SK兄斗朝,20200518,9440
311,A068400,SK兄斗朝,20200515,9400
312,A068400,SK兄斗朝,20200514,9250
313,A068400,SK兄斗朝,20200513,9510
314,A068400,SK兄斗朝,20200512,9670
315,A068400,SK兄斗朝,20200511,9950
316,A068400,SK兄斗朝,20200508,9340
317,A068400,SK兄斗朝,20200507,9380
318,A068400,SK兄斗朝,20200506,9340
319,A068400,SK兄斗朝,20200504,9300
320,A068400,SK兄斗朝,20200429,9240
321,A068400,SK兄斗朝,20200428,8600
322,A068400,SK兄斗朝,20200427,8470
323,A068400,SK兄斗朝,20200424,8280
324,A068400,SK兄斗朝,20200423,8380
325,A068400,SK兄斗朝,20200422,8130
326,A068400,SK兄斗朝,20200421,8300
327,A068400,SK兄斗朝,20200420,8520
328,A068400,SK兄斗朝,20200417,8430
329,A068400,SK兄斗朝,20200416,7890
330,A068400,SK兄斗朝,20200414,7830
331,A068400,SK兄斗朝,20200413,7810
332,A068400,SK兄斗朝,20200410,7940
333,A068400,SK兄斗朝,20200409,8050
334,A068400,SK兄斗朝,20200408,7680
335,A068400,SK兄斗朝,20200407,7430
336,A068400,SK兄斗朝,20200406,7320
337,A068400,SK兄斗朝,20200403,7180
338,A068400,SK兄斗朝,20200402,7100
339,A068400,SK兄斗朝,20200401,7040
340,A068400,SK兄斗朝,20200331,7240
341,A068400,SK兄斗朝,20200330,7050
342,A068400,SK兄斗朝,20200327,6950
343,A068400,SK兄斗朝,20200326,6660
344,A068400,SK兄斗朝,20200325,6110
345,A068400,SK兄斗朝,20200324,5780
346,A068400,SK兄斗朝,20200323,4950
347,A068400,SK兄斗朝,20200320,5450
348,A068400,SK兄斗朝,20200319,5090
349,A068400,SK兄斗朝,20200318,6840
350,A068400,SK兄斗朝,20200317,6990
351,A068400,SK兄斗朝,20200316,7550
352,A068400,SK兄斗朝,20200313,7800
353,A068400,SK兄斗朝,20200312,8630
354,A068400,SK兄斗朝,20200311,9380
355,A068400,SK兄斗朝,20200310,9690
356,A068400,SK兄斗朝,20200309,9610
357,A068400,SK兄斗朝,20200306,10300
358,A068400,SK兄斗朝,20200305,10450
359,A068400,SK兄斗朝,20200304,9840
360,A068400,SK兄斗朝,20200303,9680
361,A068400,SK兄斗朝,20200302,9610
362,A068400,SK兄斗朝,20200228,9550
363,A068400,SK兄斗朝,20200227,9920
364,A068400,SK兄斗朝,20200226,10000
